Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,2.1697708168965497e-11,4.7011701032758576e-11,3.6763887276359045e-11,0.0
2,1.4465138779310329e-11,5.062798572758615e-11,4.122011603712984e-11,2.4509258184239362e-11
3,3.9779131643103406e-11,3.736827517988502e-11,2.562331537443206e-11,6.90715457919473e-11
4,1.928685170574711e-11,3.6162846948275824e-11,5.570285950963492e-12,2.005302942346857e-11
5,3.857370341149422e-11,9.643425852873555e-12,5.236068793905682e-11,3.230765851558825e-11
6,1.4465138779310329e-11,6.870940920172406e-11,3.342171570578095e-12,3.899200165674444e-11
7,8.0763691517816e-11,0.0,3.6763887276359045e-11,2.4509258184239362e-11
8,3.254656225344824e-11,2.2903136400574688e-11,5.904503108021301e-11,3.0079544135202855e-11
9,2.8930277558620657e-11,6.388769627528728e-11,5.4588802319442214e-11,4.2334173227322534e-11
10,1.2054282316091943e-12,2.8930277558620657e-11,1.2254629092119681e-11,3.5649830086166344e-11
11,6.629855273850569e-11,2.7724849327011467e-11,1.2254629092119681e-11,0.0
12,0.0,3.9779131643103406e-11,3.6763887276359045e-11,5.6816916699827615e-11
13,5.665512688563213e-11,1.3259710547701135e-11,4.3448230417515235e-11,2.005302942346857e-11
14,0.0,2.5313992863793076e-11,2.3395200994046665e-11,4.2334173227322534e-11
15,5.665512688563213e-11,2.04922799373563e-11,5.236068793905682e-11,2.3395200994046665e-11
16,6.0271411580459704e-12,6.027141158045971e-11,0.0,5.6816916699827615e-11
17,7.594197859137924e-11,4.3395416337930994e-11,6.79574886017546e-11,3.899200165674444e-11
18,5.5449698654022933e-11,1.2054282316091941e-11,3.1193601325395555e-11,2.3395200994046665e-11
19,3.134113402183905e-11,1.928685170574711e-11,3.230765851558825e-11,2.8965486945010154e-11
20,3.6162846948275824e-11,3.495741871666663e-11,4.122011603712984e-11,3.0079544135202855e-11
21,3.3751990485057436e-11,2.4108564632183887e-12,1.1140571901926984e-11,4.567634479790063e-11
22,2.1697708168965497e-11,7.473655035977004e-11,3.230765851558825e-11,3.342171570578095e-11
23,6.509312450689648e-11,6.0271411580459704e-12,4.4562287607707935e-11,1.4482743472505077e-11
24,5.303884219080454e-11,5.424427042241373e-11,3.342171570578095e-11,5.4588802319442214e-11
