Stage,dP0 [s],dN0 [s],dP1 [s],dN1 [s]
0,0.0,0.0,0.0,0.0
1,3.636099478692605e-11,8.363028800992993e-11,6.0974374037626e-11,5.727895742928504e-11
2,1.4544397914770424e-11,4.9087342962350176e-11,2.4020207954216305e-11,1.478166643336388e-11
3,4.9087342962350176e-11,0.0,6.836520725430795e-11,2.217249965004582e-11
4,3.8179044526272353e-11,4.5451243483657566e-11,1.2933958129193396e-11,5.358354082094407e-11
5,1.272634817542412e-11,3.8179044526272353e-11,2.7715624562557275e-11,2.4020207954216305e-11
6,3.272489530823345e-11,2.545269635084824e-11,2.956333286672776e-11,8.129916538350135e-11
7,5.454149218038908e-11,1.6362447654116724e-11,1.847708304170485e-11,5.543124912511455e-12
8,0.0,2.545269635084824e-11,5.727895742928504e-11,2.4020207954216305e-11
9,8.544833774927623e-11,2.1816596872155632e-11,1.6629374737534367e-11,0.0
10,1.4544397914770424e-11,4.3633193744311265e-11,5.543124912511455e-12,4.804041590843261e-11
11,2.1816596872155632e-11,2.3634646611501934e-11,6.836520725430795e-11,2.217249965004582e-11
12,1.4544397914770424e-11,3.999709426561866e-11,1.2933958129193396e-11,4.249729099592116e-11
13,5.999564139842799e-11,3.090684556888715e-11,2.5867916258386792e-11,2.0324791345875337e-11
14,3.636099478692605e-11,3.636099478692605e-11,1.847708304170485e-11,4.804041590843261e-11
15,7.635808905254471e-11,3.8179044526272353e-11,3.510645777923922e-11,1.6629374737534367e-11
16,1.6362447654116724e-11,4.5451243483657566e-11,5.727895742928504e-11,4.619270760426212e-11
17,4.3633193744311265e-11,2.3634646611501934e-11,4.804041590843261e-11,3.1411041170898246e-11
18,3.454294504757975e-11,3.8179044526272353e-11,4.249729099592116e-11,2.5867916258386792e-11
19,4.181514400496496e-11,1.6362447654116724e-11,5.912666573345552e-11,1.478166643336388e-11
20,2.727074609019454e-11,5.81775916590817e-11,1.108624982502291e-11,8.499458199184232e-11
21,3.636099478692605e-11,3.999709426561866e-11,2.956333286672776e-11,5.543124912511455e-12
22,3.8179044526272353e-11,4.9087342962350176e-11,3.69541660834097e-11,5.358354082094407e-11
23,1.8180497393463026e-11,1.6362447654116724e-11,3.69541660834097e-11,0.0
24,3.454294504757975e-11,9.090248696731513e-12,5.543124912511455e-11,4.804041590843261e-11
25,5.090539270169648e-11,4.726929322300387e-11,2.0324791345875337e-11,4.434499930009164e-11
26,0.0,2.1816596872155632e-11,0.0,7.39083321668194e-12
27,4.5451243483657566e-11,4.9087342962350176e-11,6.651749895013747e-11,8.129916538350135e-11
28,2.545269635084824e-11,3.272489530823345e-11,4.0649582691750674e-11,1.6629374737534367e-11
29,4.726929322300387e-11,3.8179044526272353e-11,4.0649582691750674e-11,2.5867916258386792e-11
30,0.0,6.36317408771206e-11,2.4020207954216305e-11,1.108624982502291e-11
31,7.999418853123732e-11,1.8180497393463026e-11,7.206062386264891e-11,2.7715624562557275e-11
32,2.3634646611501934e-11,4.9087342962350176e-11,4.434499930009164e-11,3.325874947506873e-11
33,5.090539270169648e-11,2.545269635084824e-11,2.5867916258386792e-11,6.466979064596698e-11
34,3.090684556888715e-11,4.9087342962350176e-11,5.543124912511455e-12,3.1411041170898246e-11
35,4.181514400496496e-11,1.0908298436077816e-11,6.0974374037626e-11,9.238541520852425e-12
36,2.1816596872155632e-11,4.181514400496496e-11,2.0324791345875337e-11,4.249729099592116e-11
37,3.636099478692605e-11,5.272344244104278e-11,3.1411041170898246e-11,2.956333286672776e-11
38,1.6362447654116724e-11,6.36317408771206e-11,1.2933958129193396e-11,5.912666573345552e-11
